09-06 02:40:35.824  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:1 208 w360
09-06 02:40:35.825  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:2 234 w360
09-06 02:40:35.825  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:3 208 w360
09-06 02:40:35.825  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:4 272 w360
09-06 02:40:35.825  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:5 234 w360
09-06 02:40:35.825  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:6 298 w360
09-06 02:40:35.826  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:7 234 w360
09-06 02:40:35.826  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:8 298 w360
09-06 02:40:35.826  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:9 298 w360
09-06 02:40:35.826  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:10 272 w360
09-06 02:40:36.767  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:11 336 w360
09-06 02:40:36.768  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:12 272 w360
09-06 02:40:36.768  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:13 426 w360
09-06 02:40:36.768  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:14 426 w360
09-06 02:40:36.768  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:15 298 w360
09-06 02:40:36.768  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:16 362 w360
09-06 02:40:36.769  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:17 426 w360
09-06 02:40:36.769  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:18 234 w360
09-06 02:40:36.769  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:19 491 w360
09-06 02:40:36.769  6082 18739 I ReactNativeJS: RHSPIKE translation 28 2:20 543 w360
09-06 02:40:36.769  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:11 298 w360
09-06 02:40:36.769  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:12 234 w360
09-06 02:40:36.770  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:13 234 w360
09-06 02:40:36.770  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:14 298 w360
09-06 02:40:36.770  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:15 336 w360
09-06 02:40:36.770  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:16 298 w360
09-06 02:40:36.770  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:17 298 w360
09-06 02:40:36.770  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:18 272 w360
09-06 02:40:36.771  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:19 272 w360
09-06 02:40:36.771  6082 18739 I ReactNativeJS: RHSPIKE translation 28 73:20 1366 w360
09-06 02:41:00.436  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:1 199 w360
09-06 02:41:00.437  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:2 251 w360
09-06 02:41:00.437  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:3 281 w360
09-06 02:41:00.437  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:4 307 w360
09-06 02:41:00.437  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:5 281 w360
09-06 02:41:00.438  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:6 307 w360
09-06 02:41:00.438  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:7 337 w360
09-06 02:41:00.438  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:8 281 w360
09-06 02:41:00.438  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:9 281 w360
09-06 02:41:00.438  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:10 307 w360
09-06 02:41:00.438  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:11 281 w360
09-06 02:41:00.439  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:12 255 w360
09-06 02:41:00.439  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:13 363 w360
09-06 02:41:00.439  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:14 363 w360
09-06 02:41:00.439  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:15 281 w360
09-06 02:41:00.439  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:16 307 w360
09-06 02:41:00.439  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:17 363 w360
09-06 02:41:00.440  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:18 225 w360
09-06 02:41:00.440  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:19 419 w360
09-06 02:41:00.440  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:1 199 w360
09-06 02:41:00.440  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:2 225 w360
09-06 02:41:00.441  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:3 199 w360
09-06 02:41:00.441  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:4 225 w360
09-06 02:41:00.441  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:5 225 w360
09-06 02:41:00.441  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:6 281 w360
09-06 02:41:00.441  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:7 225 w360
09-06 02:41:00.441  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:8 251 w360
09-06 02:41:00.442  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:9 281 w360
09-06 02:41:00.442  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:10 255 w360
09-06 02:41:00.442  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:11 281 w360
09-06 02:41:00.442  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:12 225 w360
09-06 02:41:00.442  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:13 225 w360
09-06 02:41:00.442  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:14 281 w360
09-06 02:41:00.443  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:15 281 w360
09-06 02:41:00.443  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:16 281 w360
09-06 02:41:00.443  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:17 281 w360
09-06 02:41:00.443  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:18 225 w360
09-06 02:41:00.443  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:19 255 w360
09-06 02:41:00.443  6082 18739 I ReactNativeJS: RHSPIKE translation 22 73:20 1105 w360
09-06 02:41:00.767  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:20 471 w360
09-06 02:41:00.767  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:21 281 w360
09-06 02:41:00.768  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:22 445 w360
09-06 02:41:00.768  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:23 419 w360
09-06 02:41:00.768  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:24 337 w360
09-06 02:41:00.768  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:25 583 w360
09-06 02:41:00.768  6082 18739 I ReactNativeJS: RHSPIKE translation 22 2:26 583 w360
